CITY,COUNTY,Atlas_Total_Disaster_Declarations,POPULATION,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,County_FEMA_Total,County_FEMA_Per_Capita,County_SVI_2022,blueacres,OUTREACH_TIER,PRIORITY_RANK,Fact1,Fact2,Fact3
Newfield Borough,Gloucester,7,"1,812",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,15892563,53,0.22,,B_UNDER_RADAR,258,"<strong>2 assets (22.2%)</strong> sit in flood zones today. That rises to 3 (33.3%), <strong>adding 1 facilities by 2050</strong>.",Newfield Borough's <strong>only Superfund site</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Newton Town,Sussex,7,"8,435",0,,0.00%,,0.00%,2,,0.00%,,0.00%,10,3,30.00%,3,30.00%,1,,0.00%,,0.00%,6,4,66.67%,4,66.67%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,2,,0.00%,,0.00%,13164892,91,0.05,,C_LOWER_URGENCY,356,"<strong>7 assets (25.9%)</strong> already sit in flood zones, a level that holds through 2050.",,
North Arlington Borough,Bergen,8,"16,694",0,,0.00%,,0.00%,0,,0.00%,,0.00%,17,5,29.41%,7,41.18%,1,,0.00%,,0.00%,5,3,60.00%,4,80.00%,0,,0.00%,,0.00%,7,,0.00%,,0.00%,2,1,50.00%,1,50.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,1,33.33%,1,33.33%,386547358,406,0.44,,B_UNDER_RADAR,104,"<strong>10 assets (25%)</strong> sit in flood zones today. That rises to 13 (32.5%), <strong>adding 3 facilities by 2050</strong>.",,
North Bergen Township,Hudson,5,"61,668",0,,0.00%,,0.00%,2,1,50.00%,1,50.00%,67,18,26.87%,28,41.79%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,3,2,66.67%,3,100.00%,7,,0.00%,,0.00%,7,4,57.14%,4,57.14%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,4,,0.00%,,0.00%,121553990,171,0.78,,A_METRO_CRISIS,11,"<strong>26 assets (27.7%)</strong> sit in flood zones today. That rises to 37 (39.4%), <strong>adding 11 facilities by 2050</strong>.",North Bergen Township's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
North Brunswick Township,Middlesex,6,"45,323",0,,0.00%,,0.00%,0,,0.00%,,0.00%,30,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,2,,0.00%,,0.00%,12,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,3,,0.00%,,0.00%,332881646,387,0.66,,C_LOWER_URGENCY,507,"<strong>1 assets (1.9%)</strong> already sit in flood zones, a level that holds through 2050.",,
North Caldwell Borough,Essex,8,"6,769",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,1,25.00%,1,25.00%,0,,0.00%,,0.00%,2,1,50.00%,1,50.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,89468673,105,0.94,,C_LOWER_URGENCY,450,"<strong>2 assets (16.7%)</strong> already sit in flood zones, a level that holds through 2050.",,
North Haledon Borough,Passaic,7,"8,854",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,4,,0.00%,1,25.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,2,,0.00%,1,50.00%,68625167,132,0.91,,B_UNDER_RADAR,216,"<strong>3 assets (21.4%)</strong> sit in flood zones today. That rises to 5 (35.7%), <strong>adding 2 facilities by 2050</strong>.",,
North Hanover Township,Burlington,8,"8,102",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,5,,0.00%,,0.00%,3,,0.00%,1,33.33%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,21195327,46,0.24,,C_LOWER_URGENCY,460,"<strong>1 assets (5.9%)</strong> sit in flood zones today. That rises to 2 (11.8%), <strong>more than doubling exposure and adding 1 facilities by 2050</strong>.",,
North Plainfield Borough,Somerset,7,"23,072",0,,0.00%,,0.00%,0,,0.00%,,0.00%,14,12,85.71%,12,85.71%,1,,0.00%,,0.00%,11,10,90.91%,10,90.91%,0,,0.00%,,0.00%,11,2,18.18%,3,27.27%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,75802442,220,0.19,,B_UNDER_RADAR,38,"<strong>24 assets (61.5%)</strong> sit in flood zones today. That rises to 25 (64.1%), <strong>64.1% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",,
North Wildwood City,Cape May,8,"3,555",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,4,100.00%,4,100.00%,0,,0.00%,,0.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,4,3,75.00%,3,75.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,3,3,100.00%,3,100.00%,54653243,573,0.35,,B_UNDER_RADAR,75,"<strong>14 assets (87.5%)</strong> sit in flood zones today. That rises to 15 (93.8%), <strong>93.8% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",North Wildwood City's <strong>only landfill</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Northfield City,Atlantic,8,"8,527",0,,0.00%,,0.00%,0,,0.00%,,0.00%,9,,0.00%,,0.00%,1,,0.00%,,0.00%,4,3,75.00%,3,75.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,50974342,186,0.85,,C_LOWER_URGENCY,428,"<strong>3 assets (15.8%)</strong> already sit in flood zones, a level that holds through 2050.",,
