CITY,COUNTY,Atlas_Total_Disaster_Declarations,POPULATION,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,County_FEMA_Total,County_FEMA_Per_Capita,County_SVI_2022,blueacres,OUTREACH_TIER,PRIORITY_RANK,Fact1,Fact2,Fact3
Aberdeen Township,Monmouth,6,"19,376",0,,0.00%,,0.00%,0,,0.00%,,0.00%,13,2,15.38%,4,30.77%,0,,0.00%,,0.00%,9,4,44.44%,6,66.67%,0,,0.00%,,0.00%,7,,0.00%,1,14.29%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,129,"<strong>6 assets (18.8%)</strong> sit in flood zones today. That rises to 11 (34.4%), <strong>adding 5 facilities by 2050</strong>.",,
Absecon City,Atlantic,8,"9,249",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,3,42.86%,6,85.71%,0,,0.00%,,0.00%,4,1,25.00%,2,50.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,50974342,186,0.85,,B_UNDER_RADAR,152,"<strong>4 assets (25%)</strong> sit in flood zones today. That rises to 9 (56.2%), <strong>more than doubling exposure and putting 56.2% of the city's public assets at risk by 2050</strong>.",,
Alexandria Township,Hunterdon,6,"4,845",3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,27296680,211,0.04,,C_LOWER_URGENCY,483,"No public assets sit in flood zones today, but <strong>1 (10%) become exposed by 2050</strong>.",,
Allamuchy Township,Warren,8,"5,475",1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,2,66.67%,3,100.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,17216149,157,0.25,,B_UNDER_RADAR,194,"<strong>3 assets (37.5%)</strong> sit in flood zones today. That rises to 6 (75%), <strong>more than doubling exposure and putting 75% of the city's public assets at risk by 2050</strong>.",Allamuchy Township's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Allamuchy Township's <strong>only airport</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.
Allendale Borough,Bergen,8,"6,928",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,1,20.00%,4,80.00%,1,,0.00%,1,100.00%,4,3,75.00%,4,100.00%,0,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,B_UNDER_RADAR,135,"<strong>4 assets (26.7%)</strong> sit in flood zones today. That rises to 10 (66.7%), <strong>more than doubling exposure and putting 66.7% of the city's public assets at risk by 2050</strong>.",,
Allenhurst Borough,Monmouth,6,467,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,327555966,509,0.21,,B_UNDER_RADAR,247,"<strong>2 assets (40%)</strong> sit in flood zones today. That rises to 3 (60%), <strong>pushing over half (60%) of the city's public assets into flood risk by 2050</strong>.",,
Allentown Borough,Monmouth,6,"1,731",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,2,66.67%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,260,"<strong>1 assets (10%)</strong> sit in flood zones today. That rises to 3 (30%), <strong>more than doubling exposure and adding 2 facilities by 2050</strong>.",Allentown Borough's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
Alloway Township,Salem,6,"3,327",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,1,33.33%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,5624464,87,0.67,,C_LOWER_URGENCY,476,"No public assets sit in flood zones today, but <strong>1 (12.5%) become exposed by 2050</strong>.",,
Alpha Borough,Warren,8,"2,357",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,2,50.00%,2,50.00%,1,,0.00%,,0.00%,3,2,66.67%,2,66.67%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,17216149,157,0.25,,B_UNDER_RADAR,237,"<strong>4 assets (33.3%)</strong> already sit in flood zones, a level that holds through 2050.",,
Alpine Borough,Bergen,8,"1,774",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,477,"<strong>1 assets (12.5%)</strong> already sit in flood zones, a level that holds through 2050.",,
Andover Borough,Sussex,7,610,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,13164892,91,0.05,,B_UNDER_RADAR,274,"No public assets sit in flood zones today, but <strong>1 (100%) become exposed by 2050</strong>.",,
Andover Township,Sussex,7,"5,685",1,,0.00%,1,100.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,2,100.00%,0,,0.00%,,0.00%,2,,0.00%,2,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,1,100.00%,4,,0.00%,1,25.00%,13164892,91,0.05,,B_UNDER_RADAR,167,"No public assets sit in flood zones today, but <strong>8 (53.3%) become exposed by 2050</strong>.",Andover Township's <strong>only wastewater treatment center</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,Andover Township's <strong>only airport</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.
Asbury Park City,Monmouth,6,"15,473",0,,0.00%,,0.00%,1,,0.00%,1,100.00%,42,3,7.14%,22,52.38%,1,,0.00%,,0.00%,5,3,60.00%,5,100.00%,0,,0.00%,,0.00%,10,1,10.00%,3,30.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,32,"<strong>7 assets (11.3%)</strong> sit in flood zones today. That rises to 31 (50%), <strong>more than doubling exposure and putting 50% of the city's public assets at risk by 2050</strong>.",Asbury Park City's <strong>only hospital</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Atlantic City,Atlantic,8,"38,959",1,,0.00%,,0.00%,7,5,71.43%,6,85.71%,95,89,93.68%,94,98.95%,2,2,100.00%,2,100.00%,40,40,100.00%,40,100.00%,6,6,100.00%,6,100.00%,12,11,91.67%,12,100.00%,0,,0.00%,,0.00%,3,1,33.33%,2,66.67%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,2,2,100.00%,2,100.00%,6,6,100.00%,6,100.00%,50974342,186,0.85,,B_UNDER_RADAR,14,"<strong>163 assets (93.1%)</strong> sit in flood zones today. That rises to 171 (97.7%), <strong>97.7% of the city's public assets exposed by 2050</strong>, among the highest exposure in the state.",Atlantic City's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
Atlantic Highlands Borough,Monmouth,6,"4,402",0,,0.00%,,0.00%,0,,0.00%,,0.00%,9,3,33.33%,6,66.67%,1,,0.00%,1,100.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,327555966,509,0.21,,B_UNDER_RADAR,136,"<strong>5 assets (33.3%)</strong> sit in flood zones today. That rises to 10 (66.7%), <strong>more than doubling exposure and putting 66.7% of the city's public assets at risk by 2050</strong>.",,
Audubon Borough,Camden,5,"8,801",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,1,20.00%,1,20.00%,1,,0.00%,,0.00%,2,1,50.00%,1,50.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,451,"<strong>2 assets (15.4%)</strong> already sit in flood zones, a level that holds through 2050.",,
Audubon Park Borough,Camden,5,"1,000",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,509,,,
Avalon Borough,Cape May,8,"1,216",0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,4,4,100.00%,4,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,54653243,573,0.35,,B_UNDER_RADAR,160,"<strong>8 assets (100%)</strong> already sit in flood zones, a level that holds through 2050.",,
Avon-By-The-Sea Borough,Monmouth,6,"1,944",0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,8,6,75.00%,8,100.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,327555966,509,0.21,,B_UNDER_RADAR,119,"<strong>6 assets (46.2%)</strong> sit in flood zones today. That rises to 11 (84.6%), <strong>pushing over half (84.6%) of the city's public assets into flood risk by 2050</strong>.",,
Barnegat Light Borough,Ocean,6,641,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,278969403,437,0.41,,B_UNDER_RADAR,223,"<strong>4 assets (100%)</strong> already sit in flood zones, a level that holds through 2050.",,
Barnegat Township,Ocean,6,"25,871",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,1,,0.00%,,0.00%,7,4,57.14%,5,71.43%,0,,0.00%,,0.00%,6,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,278969403,437,0.41,,C_LOWER_URGENCY,383,"<strong>4 assets (19%)</strong> sit in flood zones today. That rises to 5 (23.8%), <strong>adding 1 facilities by 2050</strong>.",,
Barrington Borough,Camden,5,"7,140",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,1,25.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,493,"No public assets sit in flood zones today, but <strong>1 (6.7%) become exposed by 2050</strong>.",,
Bass River Township,Burlington,8,"1,382",1,,0.00%,,0.00%,0,,0.00%,,0.00%,6,3,50.00%,3,50.00%,1,,0.00%,,0.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,,0.00%,1,100.00%,21195327,46,0.24,,B_UNDER_RADAR,165,"<strong>6 assets (46.2%)</strong> sit in flood zones today. That rises to 8 (61.5%), <strong>pushing over half (61.5%) of the city's public assets into flood risk by 2050</strong>.",,
Bay Head Borough,Ocean,6,964,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,278969403,437,0.41,,B_UNDER_RADAR,180,"<strong>7 assets (100%)</strong> already sit in flood zones, a level that holds through 2050.",,
Bayonne City,Hudson,5,"74,532",0,,0.00%,,0.00%,3,,0.00%,,0.00%,85,42,49.41%,62,72.94%,1,,0.00%,,0.00%,19,10,52.63%,14,73.68%,4,3,75.00%,4,100.00%,17,1,5.88%,1,5.88%,1,,0.00%,1,100.00%,2,1,50.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,8,2,25.00%,3,37.50%,121553990,171,0.78,,A_METRO_CRISIS,7,"<strong>59 assets (41.8%)</strong> sit in flood zones today. That rises to 86 (61%), <strong>pushing over half (61%) of the city's public assets into flood risk by 2050</strong>.",Bayonne City's <strong>only solid & hazardous waste site</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Beach Haven Borough,Ocean,6,"1,069",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,2,100.00%,2,100.00%,1,1,100.00%,1,100.00%,3,3,100.00%,3,100.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,278969403,437,0.41,,B_UNDER_RADAR,143,"<strong>9 assets (100%)</strong> already sit in flood zones, a level that holds through 2050.",,
Beachwood Borough,Ocean,6,"11,242",0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,5,2,40.00%,2,40.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,278969403,437,0.41,,C_LOWER_URGENCY,448,"<strong>2 assets (16.7%)</strong> already sit in flood zones, a level that holds through 2050.",,
Bedminster Township,Somerset,7,"8,356",1,,0.00%,,0.00%,0,,0.00%,,0.00%,5,,0.00%,,0.00%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,2,1,50.00%,1,50.00%,75802442,220,0.19,,C_LOWER_URGENCY,376,"<strong>4 assets (23.5%)</strong> sit in flood zones today. That rises to 5 (29.4%), <strong>adding 1 facilities by 2050</strong>.",Bedminster Township's <strong>only landfill</strong> is already in a flood zone today and remains at risk through 2050.,
Belleville Township,Essex,8,"38,672",0,,0.00%,,0.00%,1,,0.00%,,0.00%,27,5,18.52%,8,29.63%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,0,,0.00%,,0.00%,13,2,15.38%,2,15.38%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,89468673,105,0.94,,C_LOWER_URGENCY,332,"<strong>8 assets (17%)</strong> sit in flood zones today. That rises to 11 (23.4%), <strong>adding 3 facilities by 2050</strong>.",,
Bellmawr Borough,Camden,5,"11,846",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,1,25.00%,1,25.00%,1,,0.00%,,0.00%,8,5,62.50%,5,62.50%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,2,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,364,"<strong>6 assets (28.6%)</strong> already sit in flood zones, a level that holds through 2050.",,
Belmar Borough,Monmouth,6,"5,846",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,2,28.57%,5,71.43%,1,1,100.00%,1,100.00%,6,3,50.00%,3,50.00%,0,,0.00%,,0.00%,3,1,33.33%,2,66.67%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,3,2,66.67%,3,100.00%,327555966,509,0.21,,B_UNDER_RADAR,77,"<strong>9 assets (42.9%)</strong> sit in flood zones today. That rises to 15 (71.4%), <strong>pushing over half (71.4%) of the city's public assets into flood risk by 2050</strong>.",,
Belvidere Town,Warren,8,"2,545",0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,2,66.67%,0,,0.00%,,0.00%,4,3,75.00%,3,75.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,,0.00%,,0.00%,17216149,157,0.25,,B_UNDER_RADAR,212,"<strong>3 assets (25%)</strong> sit in flood zones today. That rises to 5 (41.7%), <strong>adding 2 facilities by 2050</strong>.",,
Bergenfield Borough,Bergen,8,"28,921",0,,0.00%,,0.00%,0,,0.00%,,0.00%,16,2,12.50%,4,25.00%,1,,0.00%,1,100.00%,15,2,13.33%,3,20.00%,0,,0.00%,,0.00%,9,1,11.11%,1,11.11%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,386547358,406,0.44,,C_LOWER_URGENCY,346,"<strong>5 assets (11.1%)</strong> sit in flood zones today. That rises to 9 (20%), <strong>adding 4 facilities by 2050</strong>.",,
Berkeley Heights Township,Union,6,"14,510",0,,0.00%,,0.00%,1,,0.00%,,0.00%,10,3,30.00%,5,50.00%,1,,0.00%,,0.00%,2,2,100.00%,2,100.00%,1,1,100.00%,1,100.00%,8,1,12.50%,3,37.50%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,91288452,160,0.81,,B_UNDER_RADAR,115,"<strong>8 assets (29.6%)</strong> sit in flood zones today. That rises to 12 (44.4%), <strong>adding 4 facilities by 2050</strong>.",Berkeley Heights Township's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,Berkeley Heights Township's <strong>only power plant</strong> is already in a flood zone today and remains at risk through 2050.
Berkeley Township,Ocean,6,"45,211",1,,0.00%,,0.00%,0,,0.00%,,0.00%,15,6,40.00%,6,40.00%,1,,0.00%,,0.00%,11,8,72.73%,8,72.73%,1,,0.00%,,0.00%,6,,0.00%,2,33.33%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,1,100.00%,3,,0.00%,,0.00%,278969403,437,0.41,,B_UNDER_RADAR,70,"<strong>14 assets (34.1%)</strong> sit in flood zones today. That rises to 17 (41.5%), <strong>adding 3 facilities by 2050</strong>.",,
Berlin Borough,Camden,5,"7,614",0,,0.00%,,0.00%,1,,0.00%,,0.00%,7,,0.00%,,0.00%,1,,0.00%,1,100.00%,3,1,33.33%,2,66.67%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,C_LOWER_URGENCY,404,"<strong>1 assets (5.6%)</strong> sit in flood zones today. That rises to 4 (22.2%), <strong>more than doubling exposure and adding 3 facilities by 2050</strong>.",,
Berlin Township,Camden,5,"6,044",0,,0.00%,,0.00%,0,,0.00%,,0.00%,5,2,40.00%,3,60.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,3,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,,0.00%,,0.00%,10643598,20,0.78,,B_UNDER_RADAR,261,"<strong>2 assets (20%)</strong> sit in flood zones today. That rises to 3 (30%), <strong>adding 1 facilities by 2050</strong>.",,
Bernards Township,Somerset,7,"28,718",0,,0.00%,,0.00%,0,,0.00%,,0.00%,4,,0.00%,,0.00%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,13,,0.00%,1,7.69%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,75802442,220,0.19,,C_LOWER_URGENCY,465,"<strong>1 assets (3.7%)</strong> sit in flood zones today. That rises to 2 (7.4%), <strong>more than doubling exposure and adding 1 facilities by 2050</strong>.",,
Bernardsville Borough,Somerset,7,"8,020",0,,0.00%,,0.00%,0,,0.00%,,0.00%,7,,0.00%,,0.00%,1,,0.00%,,0.00%,13,4,30.77%,4,30.77%,1,,0.00%,,0.00%,6,,0.00%,1,16.67%,1,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,1,100.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,75802442,220,0.19,,C_LOWER_URGENCY,352,"<strong>6 assets (18.8%)</strong> sit in flood zones today. That rises to 8 (25%), <strong>adding 2 facilities by 2050</strong>.",Bernardsville Borough's <strong>only wastewater treatment center</strong> moves from no flood exposure to <strong>full exposure by 2050</strong>.,
Bethlehem Township,Hunterdon,6,"3,774",1,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,1,50.00%,0,,0.00%,,0.00%,3,1,33.33%,1,33.33%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,27296680,211,0.04,,C_LOWER_URGENCY,442,"<strong>1 assets (12.5%)</strong> sit in flood zones today. That rises to 2 (25%), <strong>more than doubling exposure and adding 1 facilities by 2050</strong>.",,
Beverly City,Burlington,8,"2,543",0,,0.00%,,0.00%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,1,1,100.00%,1,100.00%,3,1,33.33%,1,33.33%,0,,0.00%,,0.00%,2,,0.00%,,0.00%,0,,0.00%,,0.00%,0,,0.00%,,0.00%,1,,0.00%,,0.00%,1,1,100.00%,1,100.00%,1,,0.00%,,0.00%,3,,0.00%,,0.00%,21195327,46,0.24,,C_LOWER_URGENCY,425,"<strong>3 assets (21.4%)</strong> already sit in flood zones, a level that holds through 2050.",Beverly City's <strong>only wastewater treatment center</strong> is already in a flood zone today and remains at risk through 2050.,
