MUNCIPALITY,2024_POP
ROSELLE PARK BORO,"14,390"
COLLINGSWOOD BORO,"14,344"
NEW PROVIDENCE BORO,"13,957"
HARRISON TWP,"13,924"
CEDAR GROVE TWP,"13,766"
EATONTOWN BORO,"13,582"
WOODLAND PARK BORO,"13,477"
CLINTON TWP,"13,405"
RIDGEFIELD PARK VILLAGE,"13,400"
FLORENCE TWP,"13,247"
LUMBERTON TWP,"13,040"
OAKLAND BORO,"12,926"
PENNSVILLE TWP,"12,855"
RED BANK BORO,"12,830"
BORDENTOWN TWP,"12,732"
HADDONFIELD BORO,"12,707"
BOUND BROOK BORO,"12,643"
EAST GREENWICH TWP,"12,565"
FREEHOLD BORO,"12,530"
UPPER TWP,"12,406"
GLEN ROCK BORO,"12,346"
HASBROUCK HEIGHTS BORO,"12,253"
RIVER EDGE BORO,"12,235"
WALLINGTON BORO,"12,060"
GUTTENBERG TOWN,"11,945"
BELLMAWR BORO,"11,846"
RINGWOOD BORO,"11,762"
RIDGEFIELD BORO,"11,666"
GLOUCESTER CITY,"11,618"
WESTWOOD BORO,"11,434"
WANAQUE BORO,"11,346"
CHATHAM TWP,"11,284"
FRANKLIN LAKES BORO,"11,251"
BEACHWOOD BORO,"11,242"
EAST HANOVER TWP,"11,232"
OCEAN CITY,"11,219"
WEST CALDWELL TWP,"11,157"
POMPTON LAKES BORO,"11,156"
LITTLE FERRY BORO,"11,137"
WANTAGE TWP,"11,087"
TOTOWA BORO,"11,064"
MANVILLE BORO,"11,031"
LINCOLN PARK BORO,"11,030"
PINE HILL BORO,"10,894"
EAST RUTHERFORD BORO,"10,624"
SOMERS POINT CITY,"10,611"
SOUTH AMBOY CITY,"10,549"
WATERFORD TWP,"10,539"
SOUTHAMPTON TWP,"10,458"
RIVER VALE TWP,"10,407"
WOOD-RIDGE BORO,"10,397"
MILLSTONE TWP,"10,378"
WALDWICK BORO,"10,308"
HILLSDALE BORO,"10,266"
MAYWOOD BORO,"10,221"
HACKETTSTOWN TOWN,"10,182"
MOUNT HOLLY TWP,"10,172"
BURLINGTON CITY,"10,143"
WOODBURY CITY,"10,138"
KINNELON BORO,"10,108"
CHATHAM BORO,"10,062"
COLTS NECK TWP,"9,961"
BOGOTA BORO,"9,799"
MATAWAN BORO,"9,739"
KEANSBURG BORO,"9,689"
MONTVALE BORO,"9,663"
PARK RIDGE BORO,"9,634"
LOPATCONG TWP,"9,502"
LEONIA BORO,"9,492"
PLUMSTED TWP,"9,387"
VENTNOR CITY,"9,372"
WESTAMPTON TWP,"9,350"
CALDWELL BORO,"9,326"
CRESSKILL BORO,"9,311"
ABSECON CITY,"9,249"
OCEAN TWP,"9,242"
EDGEWATER PARK TWP,"9,196"
HALEDON BORO,"9,063"
CHESTERFIELD TWP,"9,022"
CLAYTON BORO,"9,016"
PITTSGROVE TWP,"8,972"
PITMAN BORO,"8,943"
BOONTON TOWN,"8,894"
NORTH HALEDON BORO,"8,854"
AUDUBON BORO,"8,801"
CLOSTER BORO,"8,730"
UPPER SADDLE RIVER BORO,"8,696"
CARNEYS POINT TWP,"8,693"
LONG HILL TWP,"8,692"
WEST LONG BRANCH BORO,"8,604"
RARITAN BORO,"8,584"
KENILWORTH BORO,"8,527"
NORTHFIELD CITY,"8,527"
HARDYSTON TWP,"8,472"
NEWTON TOWN,"8,435"
RUNNEMEDE BORO,"8,425"
DUNELLEN BORO,"8,411"
BEDMINSTER TWP,"8,356"
ORADELL BORO,"8,344"
SPOTSWOOD BORO,"8,306"
BYRAM TWP,"8,217"
FAIRFIELD TWP,"8,204"
GLEN RIDGE BORO,"8,204"
BUTLER BORO,"8,196"
RIVERSIDE TWP,"8,146"
NORTH HANOVER TWP,"8,102"
BERNARDSVILLE BORO,"8,020"
UPPER DEERFIELD TWP,"7,978"
FANWOOD BORO,"7,968"
MANSFIELD TWP,"7,889"
BLOOMINGDALE BORO,"7,795"
CHESTER TWP,"7,776"
BRIGANTINE CITY,"7,697"
BERLIN BORO,"7,614"
HADDON HEIGHTS BORO,"7,588"
PALMYRA BORO,"7,587"
GREEN BROOK TWP,"7,451"
WHARTON BORO,"7,444"
EMERSON BORO,"7,413"
WASHINGTON BORO,"7,375"
UPPER FREEHOLD TWP,"7,241"
MOUNTAINSIDE BORO,"7,228"
BUENA VISTA TWP,"7,197"
RUMSON BORO,"7,191"
STRATFORD BORO,"7,185"
KEYPORT BORO,"7,182"
MILLTOWN BORO,"7,170"
BARRINGTON BORO,"7,140"
MIDLAND PARK BORO,"7,104"
LINWOOD CITY,"7,072"
TABERNACLE TWP,"6,948"
ALLENDALE BORO,"6,928"
WASHINGTON TWP,"6,927"
NORTH CALDWELL BORO,"6,769"
ROCKAWAY BORO,"6,651"
WATCHUNG BORO,"6,606"
MORRIS PLAINS BORO,"6,590"
SHAMONG TWP,"6,582"
EASTAMPTON TWP,"6,524"
CARLSTADT BORO,"6,454"
OCEANPORT BORO,"6,383"
PROSPECT PARK BORO,"6,382"
ROSELAND BORO,"6,370"
OLD TAPPAN BORO,"6,342"
NEW HANOVER TWP,"6,339"
PAULSBORO BORO,"6,316"
LEBANON TWP,"6,237"
WOODCLIFF LAKE BORO,"6,234"
HAINESPORT TWP,"6,128"
LOGAN TWP,"6,116"
FAIR HAVEN BORO,"6,114"
LITTLE SILVER BORO,"6,101"
DENNIS TWP,"6,098"
MENDHAM TWP,"6,057"
BERLIN TWP,"6,044"
ROCHELLE PARK TWP,"6,002"
MOUNT ARLINGTON BORO,"5,979"
HIGHTSTOWN BORO,"5,978"
MANASQUAN BORO,"5,925"
TEWKSBURY TWP,"5,919"
MULLICA TWP,"5,878"
JAMESBURG BORO,"5,869"
NORWOOD BORO,"5,854"
BELMAR BORO,"5,846"
BLAIRSTOWN TWP,"5,783"
SOMERDALE BORO,"5,712"
UNION BEACH BORO,"5,691"
ANDOVER TWP,"5,685"
INDEPENDENCE TWP,"5,651"
CLEMENTON BORO,"5,600"
GREENWICH TWP,"5,528"
ALLAMUCHY TWP,"5,475"
ENGLEWOOD CLIFFS BORO,"5,443"
SALEM CITY,"5,369"
FRANKFORD TWP,"5,349"
GARWOOD BORO,"5,346"
MARGATE CITY,"5,239"
HOLLAND TWP,"5,232"
MAURICE RIVER TWP,"5,184"
WILDWOOD CITY,"5,098"
HARRINGTON PARK BORO,"5,088"
FRANKLIN BORO,"5,059"
MENDHAM BORO,"5,000"
NORTHVALE BORO,"4,979"
SOUTH BOUND BROOK BORO,"4,965"
DELANCO TWP,"4,953"
DEMAREST BORO,"4,941"
POINT PLEASANT BEACH BORO,"4,941"
BRIELLE BORO,"4,938"
HAMPTON TWP,"4,938"
PENNS GROVE BORO,"4,921"
FLEMINGTON BORO,"4,905"
SPRING LAKE HEIGHTS BORO,"4,859"
ALEXANDRIA TWP,"4,845"
WHITE TWP,"4,729"
COMMERCIAL TWP,"4,724"
MOUNT EPHRAIM BORO,"4,700"
MOUNTAIN LAKES BORO,"4,644"
NEPTUNE CITY BORO,"4,599"
DELAWARE TWP,"4,592"
BUENA BORO,"4,555"
ELK TWP,"4,506"
BOONTON TWP,"4,460"
EGG HARBOR CITY,"4,442"
ATLANTIC HIGHLANDS BORO,"4,402"
MAGNOLIA BORO,"4,396"
WESTVILLE BORO,"4,350"
MEDFORD LAKES BORO,"4,347"
HO-HO-KUS BORO,"4,342"
HIGHLANDS BORO,"4,337"
PILESGROVE TWP,"4,267"
MERCHANTVILLE BORO,"4,226"
LAMBERTVILLE CITY,"4,197"
MINE HILL TWP,"4,171"
CRANBURY TWP,"4,170"
SHREWSBURY BORO,"4,167"
RIVERDALE BORO,"4,142"
BRADLEY BEACH BORO,"4,140"
STILLWATER TWP,"4,093"
BORDENTOWN CITY,"4,068"
OAKLYN BORO,"3,979"
EAST AMWELL TWP,"3,948"
HARDING TWP,"3,936"
NETCONG BORO,"3,925"
MONTAGUE TWP,"3,880"
KINGWOOD TWP,"3,863"
BETHLEHEM TWP,"3,774"
WOODSTOWN BORO,"3,757"
SOUTH TOMS RIVER BORO,"3,756"
GREEN TWP,"3,712"
TUCKERTON BORO,"3,701"
HIGH BRIDGE BORO,"3,607"
STANHOPE BORO,"3,599"
NORTH WILDWOOD CITY,"3,555"
UPPER PITTSGROVE TWP,"3,507"
SOUTH HARRISON TWP,"3,472"
HAWORTH BORO,"3,450"
SADDLE RIVER BORO,"3,443"
HAMBURG BORO,"3,351"
LAWNSIDE BORO,"3,333"
ALLOWAY TWP,"3,327"
FREDON TWP,"3,316"
POHATCONG TWP,"3,296"
MONMOUTH BEACH BORO,"3,218"
DEERFIELD TWP,"3,216"
MOONACHIE BORO,"3,168"
LONG BEACH TWP,"3,157"
WOODBURY HEIGHTS BORO,"3,155"
NATIONAL PARK BORO,"3,085"
WILDWOOD CREST BORO,"3,036"
WEST AMWELL TWP,"3,034"
FRANKLIN TWP,"3,021"
WOODLYNNE BORO,"2,941"
KNOWLTON TWP,"2,939"
PENNINGTON BORO,"2,906"
RIVERTON BORO,"2,816"
CLINTON TOWN,"2,793"
SPRING LAKE BORO,"2,781"
SWEDESBORO BORO,"2,766"
WEYMOUTH TWP,"2,762"
SOUTH HACKENSACK TWP,"2,752"
CAPE MAY CITY,"2,742"
LAKEHURST BORO,"2,713"
LIBERTY TWP,"2,700"
QUINTON TWP,"2,641"
PEAPACK-GLADSTONE BORO,"2,602"
BELVIDERE TOWN,"2,545"
BEVERLY CITY,"2,543"
EAST NEWARK BORO,"2,539"
HARMONY TWP,"2,538"
SEASIDE HEIGHTS BORO,"2,522"
HELMETTA BORO,"2,504"
OXFORD TWP,"2,477"
LAFAYETTE TWP,"2,429"
ALPHA BORO,"2,357"
ENGLISHTOWN BORO,"2,343"
WENONAH BORO,"2,328"
OGDENSBURG BORO,"2,310"
GIBBSBORO BORO,"2,264"
FRELINGHUYSEN TWP,"2,242"
ESSEX FELLS BORO,"2,220"
PINE BEACH BORO,"2,214"
SEA ISLE CITY,"2,122"
WOODBINE BORO,"2,122"
SUSSEX BORO,"2,072"
SEASIDE PARK BORO,"2,058"
SANDYSTON TWP,"2,022"
LAUREL SPRINGS BORO,"2,003"
OCEAN GATE BORO,"1,987"
OLDMANS TWP,"1,946"
AVON-BY-THE-SEA BORO,"1,944"
HOPEWELL BORO,"1,938"
SEA GIRT BORO,"1,874"
HOPE TWP,"1,859"
LAVALLETTE BORO,"1,854"
FOLSOM BORO,"1,840"
BROOKLAWN BORO,"1,831"
NEWFIELD BORO,"1,812"
EAGLESWOOD TWP,"1,803"
ALPINE BORO,"1,774"
LOWER ALLOWAYS CREEK TWP,"1,750"
ALLENTOWN BORO,"1,731"
ISLAND HEIGHTS BORO,"1,715"
ESTELL MANOR CITY,"1,699"
CHESTER BORO,"1,695"
GLEN GARDNER BORO,"1,691"
LEBANON BORO,"1,675"
LAKE COMO BORO,"1,672"
HARDWICK TWP,"1,623"
VICTORY GARDENS BORO,"1,596"
WOODLAND TWP,"1,569"
CHESILHURST BORO,"1,558"
FARMINGDALE BORO,"1,495"
FRENCHTOWN BORO,"1,495"
MANNINGTON TWP,"1,476"
HAMPTON BORO,"1,449"
SEA BRIGHT BORO,"1,445"
WINFIELD TWP,"1,438"
